Place Name;Place Name normalised;Place Name unique; Place Name unique sorted;Place Name unique manually
la Encarnacion;la Encarnacion;stillen Meer;chal;Doubtles-Bay
Pitcairns Eyland;Pitcairns Eyland;Magellanischen Meer-Enge;CharlottenSund;Drake's Island
Quiros;Quiros;Boscawenund Keppels-Eylande;Charlotten-Sund;Duck-Cove
Sagittaria;Sagittaria;Cocos und Verräthers Eylande;Charlotten-Sunde;Dusky-Bay
Tahiti;Tahiti;Encarnacion;China;EaheinoMauwe
Otahiti;Otahiti;Santa-Cruz;chinesischen See;East-Bay
Tierra del EÅ¿piritu Santo;Tierra del Espiritu Santo;SocietätsInseln;Cocos und Verräther-Insel;Easter-Eyland
Mexico;Mexico;Neu-Seelands;Cocos und Verräthers Eylande;Ea-Uwhe
Californien;Californien;Pondichery;Cocos-Hofnungsund Horn-Eyland;Eddistone
Neu-Albion;Neu-Albion;Doubtfull-Bay;Cocos-Verräther und Horne-Inseln;Egmont
Neu-Guinea;Neu-Guinea;Calao;Cocos-Verräther-Hoff-;Eimeo
Neu-Holland;Neu-Holland;Mauritius-Insel;Coimbra;Encarnacion
Endeavours-StraÃŸe;Endeavours-Strasse;Frankreich;Constantia;Endeavours-Strasse
Holland;Holland;Cap der guten Hoffnung;CooksStrasse;Endten-Bucht
Cap Horn;Cap Horn;Madagascar;Cooks-Strasse;England
Å¿tillen Ocean;stillen Ocean;Südpol;Cornwall;Europa
Tahiti;Tahiti;Cap;Corunna;Eyland
Neu-Irrland;Neu-Irrland;Vorgebürge der guten Hoffnung;Danzig;Falklands-Inseln
Neu-Guinea;Neu-Guinea;Engelland;Derbyshire;Falsebay
MolukkiÅ¿chen InÅ¿eln;Molukkischen Inseln;Fayal;Deserteurs;False-Bay
Cap Horn;Cap Horn;beyder Indien;Deutschland;Färroer-Inseln
Terra del Fuego;Terra del Fuego;Sheerness;Diebs-Inseln;Fayal
Batavia;Batavia;Cornwall;DoubtfulEyland;Ferrol
Mauritius;Mauritius;Poldyre;Doubtfull-Bay;Feuer-Bay
indianiÅ¿chen Ocean;indianischen Ocean;Kenwyn;Doubtles-Bay;Finisterre
Van Diemens Land;Van Diemens Land;Vorgebürge der guten Hofnung;Drake-Eyland;Five-Finger-Land
Neu-Holland;Neu-Holland;Cap de la Circoncision;Drake's Island;Frankreich
Neu-Seeland;Neu-Seeland;Vorgebürge de la Circoncision;Duck-Cove;freundschaftlichen Inseln
N. Seeland;N. Seeland;Spithead;Dusky Bay;Friedrich Henrichs-Bay
Å¿tillen Meere;stillen Meere;Portsmouth;DuskyBay;friendly Islands
Peru;Peru;Drake's Island;Dusky-Bay;Funchal
Cap Horn;Cap Horn;Plymouth-Haven;EaheinoMauwe;Fuogo
atlanti- Å¿chen Ocean;atlantischen Ocean;Drake-Eyland;East Bay;Furneaux-Eyland
Neu- Guinea;NeuGuinea;Englands;East-Bay;Georg des dritten Insel
Salomons-InÅ¿eln;Salomons-Inseln;Eddistone;Easter-Eyland;glücklichen Inseln
Neu-Britannien;Neu-Britannien;Vorgebürge Ortegal;Easteroder Oster-Eyland;Gothenburg
atlantiÅ¿chen Ocean;atlantischen Ocean;Ortiguera;Ea-Uwhe;Göttingen
Cap Horn;Cap Horn;Promontorium trileucum;Eddistone;Gras-Cove
OÅ¿ter-Eiland;Oster-Eiland;Corunna;Egmont;Greenwich
Tahiti;Tahiti;the Groyn;Eimeo;Grönland
atlantiÅ¿chen Ocean;atlantischen Ocean;Marseille;Encarnacion;gros Ventre-Bay
Greenwich;Greenwich;Ferrol;Endeavours-Strasse;grosse Süd-Meer
Greenwich;Greenwich;Finisterre;Endten-Bucht;Gros-Tahiti
London;London;Cap Finisterre;Engelland;grünen Vorgebürges
Europa;Europa;Porto-Santo;England;Guinea
Peru;Peru;Ilhas desertas;Englands;Hamaneno
atlantiÅ¿chen Ocean;atlantischen Ocean;Deserteurs;Europa;Hawkes-Bay
Isle de St. Pierre;Isle de St. Pierre;Fun-;Eyland;Hawkins's Maiden-Land
SuÍ¤d-Georgien;Süd-Georgien;chal;Falklands-Inseln;Herurua
Falklands-InÅ¿eln;Falklands-Inseln;Funchal;Falsebay;Hervey-Eyland
MagellaniÅ¿che Meer-Enge;Magellanische Meer-Enge;Barbarey;False-Bay;hetta
Å¿tillen Meer;stillen Meer;Levante;Färroer-Inseln;Hiddia
MagellaniÅ¿chen Meer-Enge;Magellanischen Meer-Enge;St. Clara;Fayal;Hierusalem
Tahiti;Tahiti;Maxico;Ferro;Hippah-Felsen
Sagittaria;Sagittaria;Maschiko;Ferrol;Holland
BoÅ¿cawen- und Kep- pels-Eylande;Boscawenund Keppels-Eylande;Cal-;Feuer-Bay;Holz-Bay
Cocos- und VerraÍ¤thers Eylande;Cocos und Verräthers Eylande;hetta;Finisterre;Horn-Eyland
Quiros;Quiros;San Vincente;Five-Finger-Land;Hottentot-Holland
Encarnacion;Encarnacion;Calhetta;Frankreich;Hout-Bay
Santa-Cruz;Santa-Cruz;Camara de Lobos;freundschaftlichen Inseln;Huaheine
Tahiti;Tahiti;Ribeira braba;Friedrich Henrichs-Bay;Hudsons-Bay
Tierra del Espi- ritu Santo;Tierra del Espiritu Santo;Ponta de Sol;friendly Islands;Ilha dos Codornizes
Neu-Guinea;Neu-Guinea;Maschicko;Fun-;Ilhas desertas
London;London;Porto Santo;Funchal;Indian-Cove
Tahiti;Tahiti;Salvages;Fuogo;Indianer-Insel
SocietaÍ¤ts- InÅ¿eln;SocietätsInseln;Lissabon;Furneaux-Eyland;indianischen Ocean
SuÍ¤d-Meer;Süd-Meer;Coimbra;Georg des dritten Insel;Indien
Neu-Seelands;Neu-Seelands;Portugal;glücklichen Inseln;Indien-Cove
Neu-Holland;Neu-Holland;Val;Gothenburg;Indien und Shag-Cove
Neu-Holland;Neu-Holland;Derbyshire;Göttingen;Insel-Bay
Neu-Guinea;Neu-Guinea;Ascension;Gras-Cove;Inseln des Glücks
Pondichery;Pondichery;Candia;Greenwich;Irrland
PhilippiniÅ¿chen InÅ¿eln;Philippinischen Inseln;Ostund West-Indien;Grönland;Isle de France
Neu-Seeland;Neu-Seeland;Nord-Amerika;gros Ventre-Bay;Isle de St. Pierre
Doubtfull-Bay;Doubtfull-Bay;Brasilien;grosse Süd-Meer;Isle ronde
SuÍ¤d-Meer;Süd-Meer;Gothenburg;Gros-Tahiti;Isles de fortune
Calao;Calao;Neu-York;grünen Vorgebürges;Japan
Peru;Peru;Africa;Guinea;Juan Fernandez
indianiÅ¿chen Ocean;indianischen Ocean;Palma;Hamaneno;Kamtschatka
Mauritius-InÅ¿el;Mauritius-Insel;glücklichen Inseln;Hawkes-Bay;Kanarischen Inseln
Frankreich;Frankreich;Insulä¦ fortunatä¦;Hawkins's Maiden-Land;Kenwyn
