Place Name;Place Name normalised;Place Name unique; Place Name unique sorted;Place Name unique manually
AbyÃŸinien;Abyssinien;OWhai-urua;Porto Santo;Teneriffa
Cap;Cap;Süd America;Porto-Praya;Terra australis
S. Jago;S. Jago;O-Tahiti-iti;Porto-Santo;Terra del Fuego
S. Jago;S. Jago;Klein-Tahiti;Portsmouth;Thames
Nor- wegen;Norwegen;Whai-Urua;Portugal;the Groyn
England;England;O-Pahutu;Portugall;Themse
Guinea;Guinea;Eimeo;Preussen;Thira-Whittie
SuÍ¤d Amerika;Süd Amerika;Hiddia;Promontorium trileucum;Thüringen
Africa;Africa;Point Venus;Pylstaerts-Eyland;Tiegerberge
Tafel-Bay;Tafel-Bay;Matavai;Quiros;Tierra del Espiritu Santo
Tafel-Bay;Tafel-Bay;One-Tree-hill;Raietea;Timor
Tafelberges;Tafelberges;O-Parre;Resolution-Eyland;Tittahah
Cap;Cap;O-Tahiti-Nue;Rheins;Tonga-Tabu
FalÅ¿e-Bay;False-Bay;Gros-Tahiti;Ribeira braba;Uborruh
Indien;Indien;OParre;Ribeira grande;Ulietea
S. Jago;S. Jago;Aitepiha;Robben-Eyland;Upsal
Funchal;Funchal;Parre;Rocks-;U-Uru
Batavia;Batavia;Point-Venus;Rocks point;Val
Europa;Europa;Matavaä-;Rom;Van Diemens Land
Batavia;Batavia;Matavai-Fluss;Rondebosch;Van Diemens Rhede
Cap;Cap;PointVenus;Rorotoa;Venezia
Europa;Europa;Ulietea;Röst;Venus
Indien;Indien;OneTree-hill;rothen See;Vera-Cruz
Batavia;Batavia;Tedhuroa;Rotterdam;Vesuvs
Europa;Europa;Matavai-Flusses;Russland;Vorgebirge der guten Hoffnung
Holland;Holland;Tittahah;Rüsten;Vorgebürge de la Circoncision
Holland;Holland;Paparra;S. Carls Insel;Vorgebürge Ortegal
Frankreich;Frankreich;Attahuru;S. Jago;Wachtel-Insel
FalÅ¿e-Bay;False-Bay;Bretane;S. Lorenzo;Waihu
Tafel-Bay;Tafel-Bay;Britannien;Sagittaria;Wauwan
Eu- ropa;Europa;O-Aetipieha;Saldanha-Bay;West-Bay
Tafelberge;Tafelberge;Venus;Salomons Inseln;Westindien
LoÍ¤wenberg;Löwenberg;Huaheine;Salomons-Inseln;westindischen Inseln
LoÍ¤wenkopf;Löwenkopf;O-Wharre;Salvages;West-See
Carlsberg;Carlsberg;ORaietea;San Jago;Wet-Jacket-arm
Tafelberge;Tafelberge;O-Taha;San Vincente;Whai-Urua
Robben-Eyland;Robben-Eyland;Borabora;Santa Cruz;Whennua
blauen Berge;blauen Berge;Bolabola;Santa-Cruz;Whennua-aurah
Tiegerberge;Tiegerberge;Mäatea;SchipCove;Wight
Hout-Bay;Hout-Bay;OWharre;Schip-Cove;Woriea
Holz-Bay;Holz-Bay;Huahine;Schiras;Worio
Tafelbay;Tafelbay;Süd-SeeInseln;Schoutensund Van der LindsEylande;
Cap;Cap;Raietea;schwarzen EapCap;
VorgebuÍ¤rge der guten Hofnung;Vorgebürge der guten Hofnung;O-Raietea;Schweden;
Hottentot-Hol- land;Hottentot-Holland;Hamaneno;Seehund-Inseln;
StellenboÅ¿ch;Stellenbosch;Oruwherra;Seeland;
ConÅ¿tantia;Constantia;Maurua;SeillyEyland;
Tafelberges;Tafelberges;U-Uru;sel;
RondeboÅ¿ch;Rondebosch;Opoa;Senegal;
Niewlandt;Niewlandt;Taha;Sevilla;
Cap;Cap;Mopiha;Sheerness;
Alphen;Alphen;Whennua-aurah;ShipCove;
FalÅ¿e- bay;Falsebay;SeillyEyland;Ship-Cove;
DeutÅ¿chland;Deutschland;WhennuaAurah;Societäts Inseln;
China;China;Adiha;Societäts theils auf den freundschaftlichen Inseln;
Cap;Cap;Tautihpa;Societäts und auf den freundschaftlichen Inseln;
Neuholland;Neuholland;Wauwan;Societäts und der freundschaftlichen Inseln;
SuÍ¤d-See;Süd-See;Uborruh;Societäts und freundschaftlichen Inseln;
Tafel-Bay;Tafel-Bay;Tabuaä;SocietätsInseln;
Africa;Africa;Auhäiau;Societäts-Inseln;
Afrika;Afrika;Rorotoa;south pacific Ocean;
rothen See;rothen See;Whennua;South Pacifik Ocean;
mittellaÍ¤ndiÅ¿che Meer;mittelländische Meer;Motuh;Southern Atlantic Ocean;
Africa;Africa;Worio;Spanien;
Ara- biÃ¦;Arabiä¦;Woriea;Spithead;
Africa;Africa;Orimatarra;Spitzbergen;
In- dien;Indien;Tubuaä-;St. Clara;
Europa;Europa;O-Hamane;St. Jago;
Indien;Indien;O-;Stellenbosch;
Batavia;Batavia;Herurua;Stellenbusch;
Batavia;Batavia;Herurna;stille Meer;
Holland;Holland;A-Poto Poto;stillen Meer;
Holland;Holland;Aetepieha;stillen Meere;
RuÃŸland;Russland;Bristol;stillen Meeres;
Cap;Cap;Hervey-Eyland;stillen Meers;
Cap;Cap;Hervey-;stillen Ocean;
Madagascar;Madagascar;Eyland;Stockholm;
Cap;Cap;Middelburgh;Strasse von Malacca;
Holland;Holland;Amsterdam;Süd America;
Europa;Europa;Wight;Süd Amerika;
FalÅ¿ebay;Falsebay;Societäts Inseln;Südals Nordpol;
Batavia;Batavia;Ea-Uwhe;Süd-Amerika;
Cap;Cap;Tonga-Tabu;Süd-Georgien;
IÅ¿le de France;Isle de France;Tongatabu;südliche Eismeer;
Bourbon;Bourbon;ostindischen Inseln;südliche Ocean;
Holland;Holland;Vorgebürges der guten Hoffnung;SüdMeer;
Tafelbay;Tafelbay;Paraguay;Süd-Meer;
Cap;Cap;Südsee-Inseln;Südpol;
Con- Å¿tantia;Constantia;Van Diemens Rhede;Südsee;
Europa;Europa;VanDiemens Rhede;Süd-See;
Schi- ras;Schiras;Maria-Bay;Südsee-Inseln;
PerÅ¿ien;Persien;Schweden;Süd-SeeInseln;
Europa;Europa;Stockholm;Süd-See-Inseln;
ConÅ¿tantia;Constantia;Marien-Bay;Taä-ti;
ConÅ¿tantia;Constantia;Cocos-Verräther und Horne-Inseln;Table-Cap;
Frankreich;Frankreich;Horn-Eyland;Tabuaä;
Cap;Cap;friendly Islands;Tafelbay;
Cap;Cap;Cocos-Verräther-Hoff-;Tafel-Bay;
Caps;Caps;nungsund Horn-Eylanden;Tafelberge;
Cap;Cap;Anamocka;Tafelberges;
Africa;Africa;Rotterdam;Taha;
FalÅ¿e-Bay;False-Bay;Cocos-Hofnungsund Horn-Eyland;Taheiti;
StellenbuÅ¿ch;Stellenbusch;Boseawen;Tahiti;
Cap;Cap;Keppels-Eyland;Tamai-poe-namu;
Leyden;Leyden;Cocos und Verräther-Insel;Tautihpa;
Kap;Kap;l'Archipel des navigateurs;Tedhuroa;
Batavia;Batavia;Societäts und auf den freundschaftlichen Inseln;Teiarrabu;
Japan;Japan;Pylstaerts-Eyland;Teneriffa;
Kew;Kew;Neu-1773. October. Seeland;Terra australis;
Cap;Cap;Societäts theils auf den freundschaftlichen Inseln;Terra del Fuego;
Cap;Cap;Table-Cap;Thames;
England;England;Portland-Eyland;the Groyn;
England;England;Hawkes-Bay;Themse;
Africa;Africa;Cap Kidnappers;Thira-Whittie;
Saldanha-Bay;Saldanha-Bay;schwarzen EapCap;Thüringen;
Cap;Cap;Cap Palliser;Tiegerberge;
Oranien;Oranien;CooksStrasse;Tierra del Espiritu Santo;
Europa;Europa;Cap Tera Witti;Timor;
Indien;Indien;Cap Tera-Witti;Tittahah;
AÅ¿ien;Asien;EaheinoMauwe;Tongatabu;
Europa;Europa;Cap Koa-Maruh;Tonga-Tabu;
Cap;Cap;SchipCove;Tubuaä-;
Cap;Cap;Hippah-Felsen;Uborruh;
Africa;Africa;Cannibal-Cove;Ulietea;
England;England;Port-Egmont;Upsal;
Cap;Cap;Southern Atlantic Ocean;U-Uru;
Cap;Cap;Indian-Cove;Val;
Africa;Africa;Indienund Shag-Cove;van Diemens-;
Cap;Cap;East-Bay;Van Diemens Land;
Neu-Seeland;Neu-Seeland;LongEyland;Van Diemens Rhede;
Tafelbay;Tafelbay;Cap Blake;van Diemens-Land;
Cap;Cap;East Bay;VanDiemens Rhede;
England;England;Admiralitäts-Bay;Venezia;
Cap;Cap;Indian Cove;Venus;
Cap;Cap;Bay of Plenty;Vera-Cruz;
Cap;Cap;Thüringen;Vesuvs;
Amerika;Amerika;Matogrosso;Vorgebirge der guten Hoffnung;
Paris;Paris;Indien-Cove;Vorgebürge de la Circoncision;
SuÍ¤dpol;Südpol;Cap Terawitti;Vorgebürge der guten Hoffnung;
Europa;Europa;Palliser;Vorgebürge der guten Hofnung;
Senegal;Senegal;Societäts und freundschaftlichen Inseln;Vorgebürge Ortegal;
BreÅ¿t;Brest;Cadiz;Vorgebürges der guten Hoffnung;
Paris;Paris;Vera-Cruz;Wachtel-Insel;
Senegal;Senegal;Easteroder Oster-Eyland;Waihu;
London;London;weisse Land;Wauwan;
GroÍ¤nland;Grönland;Röst;weisse Land;
Cap CirconciÅ¿ion;Cap Circoncision;Rüsten;West-Bay;
Cap Horn;Cap Horn;Venezia;Westindien;
VorgebuÍ¤rge der guten Hofnung;Vorgebürge der guten Hofnung;Osterinsel;westindischen Inseln;
Neu-Seeland;Neu-Seeland;Easter-Eyland;West-See;
America;America;S. Carls Insel;Wet-Jacket-arm;
England;England;Teneriffa;Whaä-Urua;
London;London;Oster-Eyland;Whai-Urua;
Englands;Englands;Societäts und der freundschaftlichen Inseln;Whennua;
Cap;Cap;Vesuvs;WhennuaAurah;
Cap CirconciÅ¿ion;Cap Circoncision;Waihu;Whennua-aurah;
Cap;Cap;West-See;Whennua's;
Falklands-InÅ¿eln;Falklands-Inseln;S. Lorenzo;Wight;
Port Eg- montâ€™s;Port Egmont's;OsterEyland;Woriea;
SuÍ¤d- als Nord- pol;Südals Nordpol;Oster-Eylands;Worio;
Spitzbergen;Spitzbergen;;;
Cap der guten Hofnung;Cap der guten Hofnung;;;
Frankreich;Frankreich;;;
Cap;Cap;;;
IÅ¿le de France;Isle de France;;;
Mauritius;Mauritius;;;
InÅ¿eln des GluÍ¤cks;Inseln des Glücks;;;
IÅ¿les de fortune;Isles de fortune;;;
IÅ¿le ronde;Isle ronde;;;
gros Ventre-Bay;gros Ventre-Bay;;;
IÅ¿le de France;Isle de France;;;
Neuholland;Neuholland;;;
Timor;Timor;;;
Batavia;Batavia;;;
IÅ¿le de France;Isle de France;;;
Europa;Europa;;;
Ferro;Ferro;;;
IÅ¿le de France;Isle de France;;;
Greenwich;Greenwich;;;
Greenwich;Greenwich;;;
Neu- Holland;NeuHolland;;;
van Diemens Land;van Diemens Land;;;
InÅ¿el-Bay;Insel-Bay;;;
Neu-Seeland;Neu-Seeland;;;
SuÍ¤d-See;Süd-See;;;
PhilippiniÅ¿chen InÅ¿eln;Philippinischen Inseln;;;
IÅ¿le de France;Isle de France;;;
Greenwich;Greenwich;;;
Vorgebirge der guten Hoffnung;Vorgebirge der guten Hoffnung;;;
SuÍ¤d-See-InÅ¿eln;Süd-See-Inseln;;;
Cap;Cap;;;
Neu-Seeland;Neu-Seeland;;;
FaÍ¤rroer-InÅ¿eln;Färroer-Inseln;;;
Neu-Seeland;Neu-Seeland;;;
Neu-Seeland;Neu-Seeland;;;
Cap WeÅ¿t;Cap West;;;
VorgebuÍ¤rge der guten Hofnung;Vorgebürge der guten Hofnung;;;
Neu-Seeland;Neu-Seeland;;;
Å¿uÍ¤dliche Ocean;südliche Ocean;;;
Dusky-Bay;Dusky-Bay;;;
Dusky Bay;Dusky Bay;;;
Cap WeÅ¿t;Cap West;;;
Neu-Seeland;Neu-Seeland;;;
Europa;Europa;;;
Pickersgill;Pickersgill;;;
Neu Seeland;Neu Seeland;;;
Dusky-Bay;Dusky-Bay;;;
WeÅ¿t- indien;Westindien;;;
Neu-;Neu-;;;
Seeland;Seeland;;;
Dusky-Bay;Dusky-Bay;;;
Thames;Thames;;;
ThemÅ¿e;Themse;;;
Neu-Seeland;Neu-Seeland;;;
VorgebuÍ¤rge der guten Hofnung;Vorgebürge der guten Hofnung;;;
Point five finger;Point five finger;;;
Dusky-Bay;Dusky-Bay;;;
Duck-Cove;Duck-Cove;;;
Endten-Bucht;Endten-Bucht;;;
Indian-Island;Indian-Island;;;
Indianer-InÅ¿el;Indianer-Insel;;;
Taheiti;Taheiti;;;
Neu-Seeland;Neu-Seeland;;;
SuÍ¤d-See-InÅ¿eln;Süd-See-Inseln;;;
Indianer-InÅ¿el;Indianer-Insel;;;
O-Taheiti;O-Taheiti;;;
Neu-Seeland;Neu-Seeland;;;
DuÅ¿ky-Bay;Dusky-Bay;;;
Alpen;Alpen;;;
Tamai-poe-namu;Tamai-poe-namu;;;
Neu-Seeland;Neu-Seeland;;;
Dusky-Bay;Dusky-Bay;;;
VorgebuÍ¤rge der guten Hofnung;Vorgebürge der guten Hofnung;;;
Neu-Seeland;Neu-Seeland;;;
SuÍ¤d-See;Süd-See;;;
Cap;Cap;;;
Neu-Seeland;Neu-Seeland;;;
Dusky- Bay;DuskyBay;;;
Cascade Cove;Cascade Cove;;;
Cascaden-Bucht;Cascaden-Bucht;;;
Neu-Seeland;Neu-Seeland;;;
Anker-InÅ¿el;Anker-Insel;;;
Luncheon-cove;Luncheon-cove;;;
Berings-Eyland;Berings-Eyland;;;
KamtÅ¿chatka;Kamtschatka;;;
America;America;;;
Africa;Africa;;;
Neu-Seeland;Neu-Seeland;;;
van Diemens-Land;van Diemens-Land;;;
Dusky-Bay;Dusky-Bay;;;
KamtÅ¿chatka;Kamtschatka;;;
Seehund-InÅ¿eln;Seehund-Inseln;;;
Anker-InÅ¿el;Anker-Insel;;;
Indianer-InÅ¿el;Indianer-Insel;;;
Neu Seeland;Neu Seeland;;;
Neu-Seeland;Neu-Seeland;;;
Neu-Seeland;Neu-Seeland;;;
Five-Finger-Land;Five-Finger-Land;;;
Neu-Seeland;Neu-Seeland;;;
Dusky-Bay;Dusky-Bay;;;
Dusky-Bay;Dusky-Bay;;;
Neu-See- land;Neu-Seeland;;;
SuÍ¤dÅ¿ee;Südsee;;;
Neu- Seeland;NeuSeeland;;;
Alpen;Alpen;;;
DuÅ¿ky-Bay;Dusky-Bay;;;
Dusky-Bay;Dusky-Bay;;;
Dusky-Bay;Dusky-Bay;;;
Indianer-InÅ¿el;Indianer-Insel;;;
Indian-Eyland;Indian-Eyland;;;
Cascade-Bucht;Cascade-Bucht;;;
Neu-Seeland;Neu-Seeland;;;
Dusky-Bay;Dusky-Bay;;;
Dusky-Bay;Dusky-Bay;;;
Cascade-Bucht;Cascade-Bucht;;;
VorgebuÍ¤rge der guten Hofnung;Vorgebürge der guten Hofnung;;;
Neu-Seeland;Neu-Seeland;;;
Neu-Seeland;Neu-Seeland;;;
Europa;Europa;;;
DuÅ¿ky-Bay;Dusky-Bay;;;
Pickersgill-Haven;Pickersgill-Haven;;;
Greenwich;Greenwich;;;
VorgebuÍ¤rge der guten Hoffnung;Vorgebürge der guten Hoffnung;;;
Dusky Bay;Dusky Bay;;;
Cap;Cap;;;
Long-Eyland;Long-Eyland;;;
Long-Eyland;Long-Eyland;;;
blauen Bergen;blauen Bergen;;;
Wet-Jacket-arm;Wet-Jacket-arm;;;
Dusky-Bay;Dusky-Bay;;;
Dusky-Bay;Dusky-Bay;;;
Dusky-Bay;Dusky-Bay;;;
Charlotten-Sunde;Charlotten-Sunde;;;
Neu-Seeland;Neu-Seeland;;;
Dusky-Bay;Dusky-Bay;;;
Dusky-Bay;Dusky-Bay;;;
Charlotten-Sund;Charlotten-Sund;;;
Dusky-Bay;Dusky-Bay;;;
Cap Foul-Wind;Cap Foul-Wind;;;
Rocks point;Rocks point;;;
Cap Farewell;Cap Farewell;;;
Kergue- lens InÅ¿eln;Kerguelens Inseln;;;
Cap Ste- phens;Cap Stephens;;;
mittellaÍ¤ndiÅ¿chen und perÅ¿iÅ¿chen See;mittelländischen und persischen See;;;
weÅ¿tindiÅ¿chen InÅ¿eln;westindischen Inseln;;;
StraÃŸe von Malacca;Strasse von Malacca;;;
chineÅ¿iÅ¿chen See;chinesischen See;;;
London;London;;;
Charlotten-Sund;Charlotten-Sund;;;
Motu Aro;Motu Aro;;;
Schip-Cove;Schip-Cove;;;
Greenwich;Greenwich;;;
Van Diemens Land;Van Diemens Land;;;
Neu-Holland;Neu-Holland;;;
Adventure-Bay;Adventure-Bay;;;
Friedrich Henrichs-Bay;Friedrich Henrichs-Bay;;;
Africa;Africa;;;
Amerika;Amerika;;;
Adventure-Bay;Adventure-Bay;;;
Marien-In-;Marien-In-;;;
Å¿el;sel;;;
Adventure-Bay;Adventure-Bay;;;
Schoutens- und Van der Linds- Eylande;Schoutensund Van der LindsEylande;;;
Feuer-Bay;Feuer-Bay;;;
Van Diemens Land;Van Diemens Land;;;
Neu- Holland;NeuHolland;;;
Neu-Seeland;Neu-Seeland;;;
Point-Hicks;Point-Hicks;;;
Neu-Holland;Neu-Holland;;;
van Diemens-;van Diemens-;;;
Land;Land;;;
Neu-Holland;Neu-Holland;;;
Europa;Europa;;;
van Diemens-Land;van Diemens-Land;;;
Neu-Seeland;Neu-Seeland;;;
Rocks-;Rocks-;;;
Point;Point;;;
Charlotten-Sunde;Charlotten-Sunde;;;
Ship- Cove;ShipCove;;;
Dusky-Bay;Dusky-Bay;;;
Motu-Aro;Motu-Aro;;;
Dusky-Bay;Dusky-Bay;;;
Neu-Seeland;Neu-Seeland;;;
Charlotten-Sund;Charlotten-Sund;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Dusky-Bay;Dusky-Bay;;;
Dusky-Bay;Dusky-Bay;;;
Dusky-Bay;Dusky-Bay;;;
Neu-Seeland;Neu-Seeland;;;
Neu-Seeland;Neu-Seeland;;;
Dusky-Bay;Dusky-Bay;;;
Charlotten-Sund;Charlotten-Sund;;;
Long-Eyland;Long-Eyland;;;
Charlotten-Sund;Charlotten-Sund;;;
Neu-Seeland;Neu-Seeland;;;
Neu-See- land;Neu-Seeland;;;
Dusky- Bay;DuskyBay;;;
WeÅ¿t-Bay;West-Bay;;;
O-Taheitti;O-Taheitti;;;
Neu-Seeland;Neu-Seeland;;;
Ship-Cove;Ship-Cove;;;
Neu-Seeland;Neu-Seeland;;;
Dusky-Bay;Dusky-Bay;;;
WeÅ¿t-Bay;West-Bay;;;
Cap Koamaru;Cap Koamaru;;;
OÅ¿t-Bay;Ost-Bay;;;
Point JackÅ¿on;Point Jackson;;;
Dusky-Bay;Dusky-Bay;;;
Cap;Cap;;;
SuÍ¤d-See;Süd-See;;;
Dusky-Bay;Dusky-Bay;;;
Dusky-Bay;Dusky-Bay;;;
Long-Eyland;Long-Eyland;;;
Long-Eyland;Long-Eyland;;;
Motu-Aro;Motu-Aro;;;
Ship-Cove;Ship-Cove;;;
Dusky-Bay;Dusky-Bay;;;
Charlotten-Sund;Charlotten-Sund;;;
OÅ¿t-Bay;Ost-Bay;;;
Gras-Cove;Gras-Cove;;;
Canibal-Cove;Canibal-Cove;;;
OÅ¿t-Bay;Ost-Bay;;;
Gras-Cove;Gras-Cove;;;
Long-Eyland;Long-Eyland;;;
OÅ¿t-Bay;Ost-Bay;;;
Thira-Whittie;Thira-Whittie;;;
Neu-Seeland;Neu-Seeland;;;
Charlotten- Sund;CharlottenSund;;;
Charlotten-Sund;Charlotten-Sund;;;
Motu Aro;Motu Aro;;;
england;england;;;
Dusky-Bay;Dusky-Bay;;;
Charlotten-Sund;Charlotten-Sund;;;
Ship-Cove;Ship-Cove;;;
Charlotten-Sund;Charlotten-Sund;;;
England;England;;;
England;England;;;
Neu-Seeland;Neu-Seeland;;;
O-Tahiti;O-Tahiti;;;
Cooks-StraÃŸe;Cooks-Strasse;;;
SuÍ¤d-See;Süd-See;;;
Terra auÅ¿tralis;Terra australis;;;
Neu-Seeland;Neu-Seeland;;;
Amerika;Amerika;;;
Neu-Seeland;Neu-Seeland;;;
Amerika;Amerika;;;
OÅ¿tindien;Ostindien;;;
SuÍ¤d- See;SüdSee;;;
Neu-Seeland;Neu-Seeland;;;
SuÍ¤d-See;Süd-See;;;
Neu-Seeland;Neu-Seeland;;;
Cap;Cap;;;
Neu-Seeland;Neu-Seeland;;;
Neu-Seeland;Neu-Seeland;;;
Neu-Seeland;Neu-Seeland;;;
O-Tahiti;O-Tahiti;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
Neu- Seeland;NeuSeeland;;;
Neu- Seeland;NeuSeeland;;;
Pondichery;Pondichery;;;
StraÃŸe von Malacca;Strasse von Malacca;;;
BaÅ¿heeâ€’InÅ¿eln;Basheeâ€’Inseln;;;
Manilla;Manilla;;;
Neu-Brittannien;Neu-Brittannien;;;
Port Surville;Port Surville;;;
Neu-Seeland;Neu-Seeland;;;
Callao;Callao;;;
SuÍ¤d-Amerika;Süd-Amerika;;;
Frankreich;Frankreich;;;
Doubtles-Bay;Doubtles-Bay;;;
Neu- Seeland;NeuSeeland;;;
Doubtles-Bay;Doubtles-Bay;;;
Charlotten-Sund;Charlotten-Sund;;;
Doubtles-Bay;Doubtles-Bay;;;
InÅ¿el-Bay;Insel-Bay;;;
Charlotten-Sund;Charlotten-Sund;;;
Neu-Seeland;Neu-Seeland;;;
Vorgebirge der guten Hoffnung;Vorgebirge der guten Hoffnung;;;
Neu-Seeland;Neu-Seeland;;;
SuÍ¤d-See;Süd-See;;;
Cap;Cap;;;
Pitcairns InÅ¿el;Pitcairns Insel;;;
Cap;Cap;;;
Madera;Madera;;;
Charlotten-Sund;Charlotten-Sund;;;
Å¿tillen Meeres;stillen Meeres;;;
ReÅ¿olution-Eyland;Resolution-Eyland;;;
Greenwich;Greenwich;;;
Doubtful- Eyland;DoubtfulEyland;;;
Furneaux-Eyland;Furneaux-Eyland;;;
Adventure-Eyland;Adventure-Eyland;;;
Chain-IÅ¿land;Chain-Island;;;
Ketten-InÅ¿el;Ketten-Insel;;;
SuÍ¤dÅ¿ee;Südsee;;;
SuÍ¤d- See;SüdSee;;;
Osnabruck- Eyland;OsnabruckEyland;;;
Pic de la BoudeuÅ¿e;Pic de la Boudeuse;;;
le Boudoir;le Boudoir;;;
MaÍ¤atua;Mäatua;;;
Maitea;Maitea;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
O-Tahiti;O-Tahiti;;;
O-Tahiti;O-Tahiti;;;
Lima;Lima;;;
Peru;Peru;;;
Sagittaria;Sagittaria;;;
Å¿outh pacific Ocean;south pacific Ocean;;;
O-Ta- hiti;O-Tahiti;;;
Georg des dritten InÅ¿el;Georg des dritten Insel;;;
O-Aitepieha;O-Aitepieha;;;
O-Tahiti;O-Tahiti;;;
Matavai-Bay;Matavai-Bay;;;
O-Tahiti;O-Tahiti;;;
TaÃ¯ti;Taä-ti;;;
Tahiti;Tahiti;;;
O-Tahiti;O-Tahiti;;;
WhaÃ¯-Urua;Whaä-Urua;;;
Teiarrabu;Teiarrabu;;;
O-Aitepieha;O-Aitepieha;;;
O- Tahiti;OTahiti;;;
Teiarrabu;Teiarrabu;;;
Teiarrabu;Teiarrabu;;;
o-Whai-urua;o-Whai-urua;;;
London;London;;;
Europa;Europa;;;
England;England;;;
Tahiti;Tahiti;;;
Tahiti;Tahiti;;;
China;China;;;
Aitepieha;Aitepieha;;;
Indien;Indien;;;
HieruÅ¿alem;Hierusalem;;;
Marvayles of Inde;Marvayles of Inde;;;
Mata- vai-Bay;Matavai-Bay;;;
Tahiti;Tahiti;;;
Teiar- rabu;Teiarrabu;;;
Tahiti;Tahiti;;;
O-Tahiti;O-Tahiti;;;
Whennuaâ€™s;Whennua's;;;
O- Whai-urua;OWhai-urua;;;
SuÍ¤d America;Süd America;;;
Tahiti;Tahiti;;;
SuÍ¤d-See-InÅ¿eln;Süd-See-Inseln;;;
Europa;Europa;;;
O-Tahiti-iti;O-Tahiti-iti;;;
Klein-Tahiti;Klein-Tahiti;;;
Teiar- rabu;Teiarrabu;;;
Tahiti;Tahiti;;;
Teiarrabu;Teiarrabu;;;
Whai-Urua;Whai-Urua;;;
O-Pahutu;O-Pahutu;;;
Callao;Callao;;;
Peru;Peru;;;
Tahiti;Tahiti;;;
Neu-Seeland;Neu-Seeland;;;
O-Tahiti;O-Tahiti;;;
Neu-Seeland;Neu-Seeland;;;
Tahiti;Tahiti;;;
Europa;Europa;;;
Tahiti;Tahiti;;;
England;England;;;
London;London;;;
O-Tahiti;O-Tahiti;;;
Eimeo;Eimeo;;;
Aitepieha;Aitepieha;;;
Aitepieha;Aitepieha;;;
Aitepieha;Aitepieha;;;
Hiddia;Hiddia;;;
Point Venus;Point Venus;;;
Matavai;Matavai;;;
Teiarrabu;Teiarrabu;;;
One-Tree-hill;One-Tree-hill;;;
O-Parre;O-Parre;;;
O-Tahiti-Nue;O-Tahiti-Nue;;;
Gros-Tahiti;Gros-Tahiti;;;
Aitepieha;Aitepieha;;;
America;America;;;
Quiros;Quiros;;;
Neu-Seeland;Neu-Seeland;;;
SuÍ¤d-See;Süd-See;;;
Matavai-Bay;Matavai-Bay;;;
Matavai-Bay;Matavai-Bay;;;
O- Parre;OParre;;;
Aitepiha;Aitepiha;;;
O- Tahiti;OTahiti;;;
O-Tahiti;O-Tahiti;;;
Tahiti;Tahiti;;;
O-Parre;O-Parre;;;
Point Venus;Point Venus;;;
Aitepiha;Aitepiha;;;
Parre;Parre;;;
O-Parre;O-Parre;;;
Point-Venus;Point-Venus;;;
Tahiti;Tahiti;;;
MatavaÃ¯;Matavaä-;;;
Tahiti;Tahiti;;;
Spithead;Spithead;;;
Europa;Europa;;;
O-Parre;O-Parre;;;
Matavai-FluÃŸ;Matavai-Fluss;;;
Point- Venus;PointVenus;;;
Aitepieha;Aitepieha;;;
Parre;Parre;;;
Ulietea;Ulietea;;;
One- Tree-hill;OneTree-hill;;;
O-Parre;O-Parre;;;
OÅ¿tindien;Ostindien;;;
Matavai;Matavai;;;
O-Tahiti;O-Tahiti;;;
Tedhuroa;Tedhuroa;;;
Tedhuroa;Tedhuroa;;;
Matavai;Matavai;;;
Matavai-FluÅ¿Å¿es;Matavai-Flusses;;;
China;China;;;
China;China;;;
Cap;Cap;;;
Parre;Parre;;;
Tittahah;Tittahah;;;
Matavai-Bay;Matavai-Bay;;;
Paparra;Paparra;;;
Tahiti;Tahiti;;;
Pa- parra;Paparra;;;
Paparra;Paparra;;;
Attahuru;Attahuru;;;
Matavai;Matavai;;;
Point Venus;Point Venus;;;
Tahiti;Tahiti;;;
Bretane;Bretane;;;
Britannien;Britannien;;;
Tahiti;Tahiti;;;
O-Aetipieha;O-Aetipieha;;;
Greenwich;Greenwich;;;
Venus;Venus;;;
O-Tahiti;O-Tahiti;;;
England;England;;;
Ta- hiti;Tahiti;;;
Tahiti;Tahiti;;;
SuÍ¤dÅ¿ee;Südsee;;;
SocietaÍ¤ts- InÅ¿eln;SocietätsInseln;;;
Tahiti;Tahiti;;;
Huaheine;Huaheine;;;
Tahiti;Tahiti;;;
Matavai-Bay;Matavai-Bay;;;
Tahiti;Tahiti;;;
Tahiti;Tahiti;;;
Tahiti;Tahiti;;;
Hua- heine;Huaheine;;;
O-Wharre;O-Wharre;;;
Hua- heine;Huaheine;;;
Tahiti;Tahiti;;;
SocietaÍ¤ts-InÅ¿eln;Societäts-Inseln;;;
O- Raietea;ORaietea;;;
Ulietea;Ulietea;;;
O-Taha;O-Taha;;;
Borabora;Borabora;;;
Bolabola;Bolabola;;;
MaÍ¤atea;Mäatea;;;
O- Wharre;OWharre;;;
Teiarrabu;Teiarrabu;;;
Tahiti;Tahiti;;;
Tahiti;Tahiti;;;
Huaheine;Huaheine;;;
Tahiti;Tahiti;;;
Tahiti;Tahiti;;;
Tahiti;Tahiti;;;
Huaheine;Huaheine;;;
Tahiti;Tahiti;;;
Huahine;Huahine;;;
Huaheine;Huaheine;;;
